id,country,city,name,lat,lon,site_status,context_type,source
MY01,Myanmar,Lay Kay Kaw,KK Park 1st Stage,16.62974,98.55274,confirmed,urban_area,aspi
MY02,Myanmar,Lay Kay Kaw,KK Park 2nd Stage,16.62518,98.56230,confirmed,commercial_complex,aspi
MY03,Myanmar,Lay Kay Kaw,KK Park 3rd Stage,16.62135,98.55276,confirmed,urban_area,aspi
MY04,Myanmar,Lay Kay Kaw,Circling Asia Park,16.63206,98.54903,confirmed,border_area,aspi
MY05,Myanmar,Minletpan,Dongmei Park,16.59763,98.58016,confirmed,border_area,aspi
MY06,Myanmar,Mae Htaw Talay,Media Asia International Group' Park,16.64755,98.52072,confirmed,commercial_complex,aspi
MY07,Myanmar,Mae Htaw Talay,PK Park,16.66108,98.51420,confirmed,urban_area,aspi
MY08,Myanmar,Mae Htaw Talay,UK Park,16.66806,98.51418,confirmed,urban_area,aspi
MY09,Myanmar,Myawaddy,669 Park,16.67207,98.51473,confirmed,commercial_complex,aspi
MY10,Myanmar,Myawaddy,Heng Sheng Group Entertainment Complex,16.69835,98.51221,confirmed,commercial_complex,aspi
MY11,Myanmar,Myawaddy,Hengsheng Park,16.69876,98.49610,confirmed,commercial_complex,aspi
MY12,Myanmar,Myawaddy,OK Park,16.71424,98.49502,confirmed,urban_area,aspi
MY13,Myanmar,Myawaddy,Jinxin Park,16.71419,98.47952,confirmed,commercial_complex,aspi
MY14,Myanmar,Chaungson,Yulong Bay Park,16.74782,98.47624,confirmed,border_area,aspi
MY15,Myanmar,Chaungson,WKH Park,16.75535,98.46639,confirmed,border_area,aspi
MY16,Myanmar,Theapon,Golden Paduak Park,16.76356,98.47436,confirmed,border_area,aspi
MY17,Myanmar,Theapon,Apolo,16.77622,98.48312,confirmed,urban_area,aspi
MY18,Myanmar,Shwekokko,Shewe Koko Extension #2,16.79849,98.50381,confirmed,commercial_complex,aspi
MY19,Myanmar,Shwekokko,Shewe Koko Extension,16.81237,98.52289,confirmed,commercial_complex,aspi
MY20,Myanmar,Shwekokko,New Yatai City (Shwe Koko),16.81469,98.54500,suspected,commercial_complex,aspi
MY21,Myanmar,Mae Htaw Talay,Originos ,16.66303,98.51394,suspected,urban_area,aspi
BA02,Cambodia,Bavet,,11.07620,106.16630,confirmed,border_area,amnesty
BA03,Cambodia,Bavet,,11.07820,106.16350,confirmed,border_area,amnesty
BA05,Cambodia,Bavet,,11.06980,106.17520,confirmed,border_area,amnesty
BA06,Cambodia,Bavet,,11.06940,106.17000,confirmed,border_area,amnesty
BA11,Cambodia,Bavet,,11.07150,106.16360,confirmed,border_area,amnesty
BA13,Cambodia,Bavet,,11.07710,106.16980,confirmed,border_area,amnesty
BS02,Cambodia,Botum Sakor,,10.88860,103.14610,confirmed,unknown,amnesty
BS04,Cambodia,Botum Sakor,,10.90870,103.12780,confirmed,unknown,amnesty
CH01,Cambodia,Choam,,14.3432,104.0568,confirmed,border_area,amnesty
CK01,Cambodia,Chob Kokir Khang Lich,,14.3336,103.1764,confirmed,border_area,amnesty
CT01,Cambodia,Chrey Thum,,10.9475,105.0789,confirmed,border_area,amnesty
CT02,Cambodia,Chrey Thum,,10.9515,105.0685,confirmed,border_area,amnesty
CT03,Cambodia,Chrey Thum,,10.9587,105.0735,confirmed,border_area,amnesty
CT05,Cambodia,Chrey Thum,,10.9656,105.0622,confirmed,border_area,amnesty
KA01,Cambodia,Kampot,,10.6347,104.017,confirmed,urban_area,amnesty
KA02,Cambodia,Kampot,,10.4404,104.4424,confirmed,urban_area,amnesty
KK01,Cambodia,Koh Kong,,11.6429,102.9142,confirmed,border_area,amnesty
OS01,Cambodia,O’Smach,,14.4337,103.7028,confirmed,border_area,amnesty
OS02,Cambodia,O’Smach,,14.4325,103.6979,confirmed,border_area,amnesty
PO07,Cambodia,Poipet,,13.6401,102.5767,confirmed,border_area,amnesty
PO10,Cambodia,Poipet,,13.6658,102.5665,confirmed,border_area,amnesty
